type,keyword,sole keyword pattern,مثال,مشابهات
length,طول,1,,
length,طولانی,0,جاده طولانی | مسیر طولانی,
length,عرض,0,,
length,عمق,1,,
length,ارتفاع,1,,
length,ضخامت,1,,
length,ضلع,0,مثلثی به ضلع 3,
length,شعاع,0,,
length,قطر,0,,
length,قاعده,0,,
length,ابعاد,0,مکعبی به ابعاد 3 در 2 در 1,
length,فاصله,1,,
length,مسافت,1,,
length,دور,0,ستارگان از ما دور هستند,
length,نزدیک,1,,
length,اندازه,1,,
length,وسعت,1,,
length,دراز,0,,
length,بلند,0,,
length,کوتاه,0,,
length,بزرگ,0,,
length,کوچک,0,,
length,قد,1,,
length,قامت,1,,
length,کران,0,,
length,محیط,0,,
length,دور,1,دور بازوی او زیاد است,
length,دور تا دور,0,,
length,موقعیت,0,,
length,مکان,0,,
volume,حجم,1,,
volume,بزرگ,0,,
volume,کوچک,0,,
volume,زیاد,0,,
volume,کم,0,,
volume,ظرفیت,1,,
volume,گنجایش,1,,
volume,فضا,1,آن جعبه فضای زیادی اشغال می‌کند,
volume,اندازه,1,,
volume,جا,1,,
speed,سرعت,1,,
speed,سریع,0,,
speed,تند,0,,
speed,تندرو,0,,
speed,تندی,0,,
speed,تیز,0,,
speed,فرز,0,,
speed,به چابکی,0,,
speed,به چالاکی,0,,
speed,کند,0,,
speed,آهسته,0,,
speed,آرام,0,,
speed,یواش,0,,
speed,حرکت,1,,
speed,جنبش,1,,
speed,ساکن,0,,
speed,ثابت,0,,
speed,ایستاده,0,,
speed,متوقف,1,,
power,توان,1,,
power,مصرف,0,,
power,مصرف انرژی,1,,
power,نرخ مصرف,1,,
density,چگالی,1,,
density,چگال,0,,
density,وزن مخصوص,1,,
density,جرم حجمی,1,,
density,سنگین,0,سرب یک فلز سنگین است | سرب سنگین تر از چوب است,
acceleration,شتاب,1,,
acceleration,شتابدار,0,,
acceleration,تند شونده,0,,
acceleration,کند شونده,0,,
acceleration,افزایش سرعت,1,,
acceleration,کاهش سرعت,1,,
acceleration,تغییر سرعت,1,,
acceleration,میرا,0,,
acceleration,ترمز,1,,
data-storage,حجم,1,,
data-storage,اندازه,1,,
data-storage,بزرگ,0,,
data-storage,کوچک,0,,
data-storage,حافظه,1,,
mass,وزن,1,,
mass,سنگینی,1,وزنه‌ای به سنگینی یک فیل را بلند کرد.,
mass,سنگین,0,بسته سنگین بود.,
mass,سبکی,1,چیزی به سبکی پر در هوا معلق بود.,
mass,سبک,0,بسته سبک بود.,
mass,ترازو,1,ترازو روی عدد 2 ایستاد.,
mass,جرم,1,جسمی با جرم بالا سقوط کرد. | جسمی به جرم دو کیلوگرم سقوط کرد.,
temperature,دما,1,,
temperature,دمای,1,,
temperature,داغ,0,آب داغ بود.,
temperature,سرد,0,آب سرد بود.,
temperature,یخ,0,آب یخ بود.,
temperature,داغی,1,پیشانیش داغی بیش از اندازه‌ای داشت.,
temperature,سردی,1,دست‌هایش سردی بیش از حدی داشت.,
temperature,تب,1,تب چهل درجه داشت.,
temperature,گرم,0,هوا گرم بود.,
temperature,سرد,0,هوا سرد بود.,
temperature,گرما,1,گرما/گرمی هوا غیرقابل تحمل است.,
temperature,گرمی,1,,
temperature,سرما,1,سرما/سردی هوا غیرقابل تحمل است.,
temperature,سردی,1,,
temperature,حرارت,1,نان حرارت دلپذیری داشت.,
temperature,برودت,1,مدرسه به دلیل برودت هوا تعطیل شد.,
temperature,نقطه‌ی ذوب,1,نقطه‌ی ذوب|انجماد|جوش این مایع پایین است.,
temperature,نقطه‌‌ی انجماد,1,,
temperature,نقطه‌ی جوش,1,,
temperature,خنک,0,خنک بنوشید. :)),
temperature,خنکا,1,خنکی نوشابه سر حالش آورد.,
force,خنکی,1,,
force,نیرو,1,,
force,نیروی,1,,
force,کشش,1,[نیروی] کشش نخ را حساب کنید.,
force,هل,1,با قدرت هلش داد.,
force,نیروی گرانشی,1,,
force,نیروی اصطکاک,1,,
force,نیروی عمود بر سطح,1,,
force,نیروی مقاومت هوا,1,,
force,نیروی الکترومغناطیسی,1,,
force,نیروی کشسانی,1,,
force,نیروی الکتریکی,1,,
force,کشید,1,با قدرت آن را کشید.,
torque,گشتاور,1,,
torque,تعادل,1,شرایط تعادل گشتاوری برقرار است. | تعادل چرخشی برقرار است.,
torque,ساعتگرد,0,,
torque,پادساعتگرد,0,,
torque,تکانه‌ی زاویه‌ای,1,معادل گشتاور زاویه ای,
torque,گشتاور پویا,1,,
torque,گشتاور داینامیک,1,,
torque,گشتاور ایستا,1,,
torque,گشتاور استاتیک,1,,
torque,نیروی چرخشی,1,معادل گشتاور نیرو,
torque,ممان نیرو,1,معادل گشتاور نیرو,
frequency,فرکانس,1,,
frequency,بسامد,1,,
frequency,فرکانس زاویه‌ای,1,,
frequency,فرکانس فضایی,1,,
frequency,فرکانس مکانی,1,,
frequency,فرکانس طبیعی,1,,
frequency,عکس دوره تناوب,1,,
frequency,[رویداد] در [واحد زمان],1,پنج بار در ثانیه,
frequency,نرخ نوسان,1,,
frequency,تعداد تناوب,1,,
frequency,ارتعاش در [واحد زمان],1,,
debi,دبی,1,,
debi,شارش جرمی,1,,
debi,دبی جرمی,1,,
debi,بده جرم,1,,
debi,آهنگ شارش جرم,1,,
debi,نرخ شارش جرم,1,,
data-transfer,انتقال داده,1,,
data-transfer,سرعت اینترنت,1,,
data-transfer,سرعت نت,1,,
data-transfer,سریع,0,,
data-transfer,کندی,1,,
data-transfer,کند,0,,
data-transfer,ضعیف,0,اینترنت ضعیفه.,
data-transfer,قوی,0,,
pressure,فشار,1,,
pressure,متراکم سازی,1,,
pressure,فشردگی,1,,
pressure,ضربه,1,,
pressure,ازدحام,1,,
area,مساحت,1,,
area,سطح,1,,
area,پهنه,1,,
area,گستردگی,1,,
area,گستره,1,,
area,پهنا,1,,
area,متراژ,1,,
energy,انرژی,1,,
energy,قدرت,1,,
energy,پرکاری,1,,
energy,کم کاری,1,,
time,زمان,1,,
time,دوران,1,,
time,روزگار,1,,
time,زمانه,1,,
time,دوره,1,,
time,عصر,1,,
time,عهد,1,,
time,فصل,1,,
time,موسم,1,,
time,نوبت,1,,
time,هنگام,1,,
time,فرصت,1,,
time,مجال,1,,
time,وقت,1,,
time,مدت,1,,
time,موعد,1,,
time,ساعت,1,,
time,دقیقه,1,,
time,ثانیه,1,,
time,دم,1,,
time,لحظه,1,,
time,موقع,1,,
time,مبدا زمان,1,,
degree,درجه,1,,
degree,زاویه,1,,
degree,کنج,1,,
degree,گوشه,1,,
degree,گرادیان,1,,
debi-v,شارش حجمی,1,,
debi-v,دبی حجمی,1,,
debi-v,آهنگ شارش حجمی,1,,
debi-v,نرخ شارش حجمی,1,,
wildcard,مقدار,,,